treat,pre,post
Group A,27.9091873130662,-935.002512642218
Group A,28.4187721858217,-975.433468428772
Group A,1.71245008013773,490.22952857849
Group A,-11.5241144935689,1221.23668124307
Group A,28.5654747296769,-985.032276727966
Group A,34.6399013030554,-1315.29305840829
Group A,37.7242791975828,-1486.44179239231
Group A,-24.2656691284017,1921.29235128278
Group A,30.0604585991301,-1059.58326055513
Group A,24.2654219620315,-742.207663623539
Group A,33.347572906067,-1249.13729687208
Group A,8.06085857898413,146.670912403284
Group A,18.3607409105668,-418.503322305469
Group A,1.75645916728789,490.587377899085
Group A,0.230175244835642,573.837353046473
Group A,19.1941182257452,-464.463468885574
Group A,25.0616092932418,-788.339744086777
Group A,17.124453976516,-350.730793725959
Group A,29.4294292636196,-1029.17056328006
Group A,17.6006532996143,-376.800496785968
Group B,24.6310142588244,-785.297432055302
Group B,12.1773638539501,-97.5328043968952
Group B,12.9206936519523,-137.724489942352
Group B,34.8925510068314,-1339.00948349631
Group B,0.731753555454089,532.602441593152
Group B,-4.18382236624758,800.636268290573
Group B,5.16198630587892,283.259797826355
Group B,-19.8883971473154,1664.52515926856
Group B,2.05047740344991,463.403419057397
Group B,32.5844764265571,-1219.63121515146
Group B,-30.7385886836863,2261.75707256543
Group B,21.4830700225413,-604.149369089478
Group B,11.608435342157,-67.0753761088394
Group B,34.810405955725,-1351.40775943348
Group B,18.7719280720104,-455.270532710119
Group B,37.2314583670024,-1476.52212452653
Group B,12.6462546282603,-124.337714746634
Group B,12.7598400396233,-134.786093871304
Group B,32.979341560123,-1242.57218177035
Group B,6.962528982193,184.20760441874
